competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1060546927,274,1060545705,948,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1066192700,153,1066191300,1247,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1066561738,166,1066560799,773,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1066519522,155,1066518506,861,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1066709378,309,1066708170,899,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1066126287,321,1066125117,849,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1065854148,147,1065853306,695,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1066432283,138,1066431026,1119,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1066174452,152,1066173505,795,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1066566558,158,1066565531,869,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1065769667,165,1065768395,1107,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1066029626,143,1066028536,947,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1066486992,140,1066485929,923,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1065519161,140,1065518238,783,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1066013049,470,1066011445,1134,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1066221569,152,1066220647,770,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1066112458,160,1066111377,921,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1066598673,158,1066597721,794,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1066259577,148,1066258502,927,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,1065874598,141,1065873615,842,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120280754,257,1120279463,1034,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120491545,247,1120490337,961,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120331826,150,1120330809,867,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120601548,240,1120600440,868,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120466791,240,1120465601,950,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120115179,266,1120114054,859,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120549686,312,1120548466,908,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120620096,230,1120618902,964,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120507394,263,1120506250,881,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120689377,236,1120688192,949,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120856370,315,1120855178,877,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120088789,230,1120087697,862,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120791834,262,1120790370,1202,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120926984,252,1120925784,948,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120407189,264,1120406160,765,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120749576,245,1120748286,1045,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120794012,277,1120792889,846,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1121027810,285,1121026557,968,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1120348795,246,1120347685,864,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,1119839406,250,1119838366,790,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,3630765855,470618822,2927996256,232150777,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,2034876884,97701019,1705106092,232069773,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1705144943,98421262,1375664524,231059157,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1712633341,97863472,1382576390,232193479,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1704680977,98460825,1374909947,231310205,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1697453621,97725917,1367368634,232359070,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1696963859,98491212,1367060522,231412125,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1696588842,97807860,1366030289,232750693,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1695580251,98482963,1365670235,231427053,1
