competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,788036333,271,788034622,1440,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,786954068,270,786952378,1420,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,786051822,250,786050362,1210,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,787025187,280,787023607,1300,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,786698609,280,786696919,1410,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,786877058,420,786875208,1430,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,786626439,380,786624869,1190,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,787913383,300,787911683,1400,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,786714769,270,786713329,1170,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,786400630,290,786399030,1310,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,787501645,400,787500055,1190,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,787716154,290,787714484,1380,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,788018752,410,788016762,1580,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,786957068,270,786955438,1360,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,786794298,380,786792658,1260,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,788687299,190,788685809,1300,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,786516159,260,786514630,1269,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,787139957,280,787138477,1200,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,786498430,749,786496430,1251,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,786287991,409,786286162,1420,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,839774209,310,839772599,1300,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,839351752,290,839350482,980,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,837890173,290,837888653,1230,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,839612564,290,839611284,990,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,839989023,390,839987393,1240,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,838613679,310,838612149,1220,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,839391496,310,839389976,1210,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,838101582,410,838099941,1231,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,840009532,410,840007882,1240,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,839198807,260,839197317,1230,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,838412731,400,838411521,810,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,838906398,410,838904708,1280,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,839241976,410,839240596,970,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,839968363,290,839966993,1080,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,839303826,180,839302246,1400,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,839137896,620,839136167,1109,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,838904798,290,838903168,1340,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,840251501,300,840250181,1020,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,839076647,300,839075267,1080,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,839542065,170,839540475,1420,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,4050533203,324960241,3620144038,105428924,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1594805862,33401107,1456294629,105110126,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1070125847,34096623,931768874,104260350,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1080650736,33609446,942266372,104774918,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1058883782,33987583,920502919,104393280,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1070856104,33540496,932532290,104783318,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1060531044,34278573,921797912,104454559,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1055986007,33592176,917431774,104962057,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1055377929,34022093,917271165,104084671,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1059327870,33756195,920209530,105362145,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1056633094,34000724,918466209,104166161,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1057136021,33543596,918677928,104914497,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1056832332,34024914,919024986,103782432,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1057257200,33545605,918641748,105069847,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1070756484,34052754,932453410,104250320,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1055336960,33519167,916764597,105053196,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1056765372,33979603,918533419,104252350,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1055984337,33630646,917408854,104944837,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1056349655,34001874,917496143,104851638,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,1057445039,33513916,919097035,104834088,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,103945092,46037105,33679072,23973053,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,101273225,45140729,32557086,23543825,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,102484869,44945540,33857568,23650164,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,102080591,45284289,33095104,23670454,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,100820157,44891410,32278560,23619285,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,100627038,45063009,31759520,23773224,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,102413520,45006060,33765760,23610605,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,101223045,45106069,32324002,23761504,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,100344509,44957820,31657824,23697384,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,99948732,45125490,31120832,23671665,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,100557688,44926620,31960448,23639704,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,104887727,45059639,36031104,23765764,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,100850417,44937350,32294274,23587385,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,100679177,45449827,31309472,23889383,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,101373465,44917681,32656158,23768604,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,102340639,45394798,33823392,23090677,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,101174075,44985120,32460930,23698604,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,101593484,46856931,31720576,22985658,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,100415809,44920190,31739712,23725755,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,99762063,45012740,31077760,23639815,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,122225022,54781692,36361184,31049438,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,121552166,55248740,35879616,30389291,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,124935269,54760312,39135744,31005669,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,124825579,54850702,38992128,30948478,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,124371412,54697272,38595840,31044878,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,124748870,54900861,38782976,31031829,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,124697210,54767662,38853248,31042878,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,124109323,54949201,38105504,31021408,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,124462901,54588453,38807456,31033708,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,125384167,54929291,39418368,31003118,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,125001679,54792882,39096768,31078938,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,124918849,54881372,38944160,31059948,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,124540022,54860052,38525120,31121598,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,125238418,54866502,39036672,31301278,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,124900899,54641332,39182208,31044709,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,124795730,55266770,38481344,31012869,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,124196423,54655713,38572352,30934789,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,125090488,54910801,39123072,31022678,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,124316072,54635043,38555520,31091548,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,125472757,54856112,39513472,31070259,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,5560752069,374438540,5012546560,173790780,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,5174996985,77273532,4926030336,171717830,1
